u_s,size_mm,flow_velocity,duty,low_flow_fraction,outcome
1.5887693002993286,0.7012014145192198,1.945227082234276,0.55,0.35,heavy
1.456362953046187,0.8816262441293334,1.945227082234276,0.55,0.35,active
1.5214841839385087,0.3738646855149303,1.945227082234276,0.55,0.35,heavy
1.440949831269521,0.6866013845384852,1.945227082234276,0.55,0.35,active
1.373167760454353,0.5916737881422189,1.945227082234276,0.55,0.35,active
1.648069973883063,0.8010567337807859,1.945227082234276,0.55,0.35,heavy
1.3592219897373092,0.6226089004671767,1.945227082234276,0.55,0.35,active
1.319882204125771,0.7734462631288026,1.945227082234276,0.55,0.35,active
1.0706643785580605,0.7358616211435618,1.945227082234276,0.55,0.35,active
1.3776450232845534,0.6646355637123953,1.945227082234276,0.55,0.35,active
1.1944819782292748,0.6195385961514974,1.945227082234276,0.55,0.35,active
1.419018180301963,0.7287685026771812,1.945227082234276,0.55,0.35,active
1.4998970114789338,0.9913726394760611,1.945227082234276,0.55,0.35,heavy
1.2954186852719327,0.8019423366138023,1.945227082234276,0.55,0.35,active
1.5539065528570124,0.5444222041652756,1.945227082234276,0.55,0.35,heavy
1.22347013122683,0.9400386525723841,1.945227082234276,0.55,0.35,active
1.5311699466948976,0.583642443708903,1.945227082234276,0.55,0.35,heavy
1.1622226928437227,0.7440798171557137,1.945227082234276,0.55,0.35,active
1.665911640575483,0.9793711648584338,1.945227082234276,0.55,0.35,heavy
1.6929942295846758,0.9282754620268838,1.945227082234276,0.55,0.35,heavy
1.5022042400306999,0.6039893264808058,1.945227082234276,0.55,0.35,heavy
1.393722805429799,0.514746373002968,1.945227082234276,0.55,0.35,active
1.0884529693506984,0.6242119362644702,1.945227082234276,0.55,0.35,active
1.397817327782691,0.5026744539071313,1.945227082234276,0.55,0.35,active
1.4273712569709178,0.6405911416149783,1.945227082234276,0.55,0.35,active
1.315674323275894,0.8428781598944046,1.945227082234276,0.55,0.35,active
1.6778158450592897,0.9333533635634785,1.945227082234276,0.55,0.35,heavy
1.1364521121313225,0.9997125032375695,1.945227082234276,0.55,0.35,active
1.1567558261355821,0.5305728569359092,1.945227082234276,0.55,0.35,active
1.2482877585672945,0.5764992152790368,1.945227082234276,0.55,0.35,active
1.0839377948106923,0.8249385610311558,1.945227082234276,0.55,0.35,active
1.1476203652087762,0.9800522594142665,1.945227082234276,0.55,0.35,active
1.096680071474916,0.6006747588201373,1.945227082234276,0.55,0.35,active
1.5177776124353461,0.8757143771565767,1.945227082234276,0.55,0.35,heavy
1.3466542575780325,0.9019933708225373,1.945227082234276,0.55,0.35,active
1.673336287642838,0.6243753927940577,1.945227082234276,0.55,0.35,heavy
1.4415436227013438,0.9584859585391838,1.945227082234276,0.55,0.35,active
1.2331873270616664,0.5387061909854896,1.945227082234276,0.55,0.35,active
1.5015182135547849,0.9662390666190357,1.945227082234276,0.55,0.35,heavy
1.5620144002322063,0.723821038469682,1.945227082234276,0.55,0.35,heavy
1.3845663685491068,0.5818773837914435,1.945227082234276,0.55,0.35,active
1.3387766363867193,0.6107020989014786,1.945227082234276,0.55,0.35,active
1.2385296991829213,0.4493330897575376,1.945227082234276,0.55,0.35,active
1.623296576487468,0.8680843731404564,1.945227082234276,0.55,0.35,heavy
1.4753993728069383,0.8500407291567496,1.945227082234276,0.55,0.35,heavy
1.1809298929359069,0.9766337272973757,1.945227082234276,0.55,0.35,active
1.5261945672202537,0.6659788442783083,1.945227082234276,0.55,0.35,heavy
1.1752337884411472,0.7107663162810061,1.945227082234276,0.55,0.35,active
1.2872523432788823,0.7056261501636156,1.945227082234276,0.55,0.35,active
1.3155255598979596,0.7216620199921838,1.945227082234276,0.55,0.35,active
1.4622209187298296,0.8024563401012033,1.945227082234276,0.55,0.35,active
1.4765759945247394,0.6330046063487195,1.945227082234276,0.55,0.35,heavy
1.1316963794925907,0.5764154147562587,1.945227082234276,0.55,0.35,active
1.480731563625651,0.5268384565950809,1.945227082234276,0.55,0.35,heavy
1.5394481567209992,0.5207372940690782,1.945227082234276,0.65,0.35,active
